City,Country,Max Temp,Lat,Lng,Hotel Name
Saint-Philippe,RE,74.79,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
Greenville,US,73.42,35.6127,-77.3663,the 5th Street Inn
Port Alfred,ZA,73.2,-33.5906,26.891,The Halyards Hotel
Rikitea,PF,74.3,-23.1203,-134.9692,People ThankYou
Cockburn Town,TC,82.71,21.4612,-71.1419,Osprey Beach Hotel
Isangel,VU,73.51,-19.55,169.2667,Tanna Lodge
Opuwo,No country,84.97,-18.0607,13.84,ABBA Guesthouse
Vaini,TO,73.56,-21.2,-175.2,Keleti Beach Resort
Vao,NC,70.29,-22.6667,167.4833,Hotel Kou-Bugny
Sao Joao Da Barra,BR,71.69,-21.6403,-41.0511,Pousada Porto De Canoas
Riyadh,SA,87.94,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
Cumana,VE,86.45,10.4635,-64.1775,Posada Acuarela Los Roques
Kapaa,US,73.38,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
Acapulco,MX,82.22,16.8634,-99.8901,HS Hotsson Smart Acapulco
Monrovia,LR,83.97,6.3005,-10.7969,Sunset Inn
Micheweni,TZ,77.61,-4.9667,39.8333,
Port Elizabeth,ZA,70.11,-33.918,25.5701,39 On Nile Guest House
Kavaratti,IN,81.93,10.5669,72.642,Hotels in Lakshadweep Islands
Wattegama,LK,76.12,6.7989,81.4808,
Westport,US,74.28,41.1415,-73.3579,The Westport Inn
Yulara,AU,71.44,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
Belmonte,BR,78.8,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
San Cristobal,VE,78.98,7.7669,-72.225,Posada Villaven C.A.
Mar Del Plata,AR,73.42,-38.0023,-57.5575,Gran Hotel Mar del Plata
Eldorado,BR,75.07,-23.7869,-54.2836,Villa Verde Hotel
San Patricio,US,81.88,28.017,-97.5169,"Motel 6 Sinton, TX"
Barabai,ID,73.67,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
Hithadhoo,MV,82.04,-0.6,73.0833,Scoop Guest House
Calamar,CO,87.75,10.2511,-74.9146,Hostal Katyalex
Ternate,ID,80.31,0.8,127.4,Grand Dafam Bela Ternate
Ribeira Grande,PT,70.2,38.5167,-28.7,Quinta da Meia Eira
Sabha,LY,83.23,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
Atuona,PF,77.02,-9.8,-139.0333,Villa Enata
Puerto Ayora,EC,73.36,-0.7393,-90.3518,Finch Bay Galapagos Hotel
Arraial Do Cabo,BR,71.56,-22.9661,-42.0278,Pousada Porto Praia
Auki,SB,76.98,-8.7676,160.7034,Auki Motel
Hilo,US,74.28,19.7297,-155.09,Hilo Hawaiian Hotel
Dabakala,CI,84.76,8.3667,-4.4333,Hôtel Campement
Meulaboh,ID,77.76,4.1363,96.1285,Kost Pria
Sechura,PE,75.06,-5.5569,-80.8222,Hospedaje Costa Bella
Caravelas,BR,76.57,-17.7125,-39.2481,Pousada dos Navegantes
Moyale,KE,72.77,3.5167,39.0584,La Tahzan Guest House
Progreso,MX,84.11,21.2833,-89.6667,
Butaritari,KI,82.0,3.0707,172.7902,Isles Sunset Lodge
Orapa,BW,84.9,-21.2833,25.3667,
Sur,OM,82.11,22.5667,59.5289,Sur Plaza Hotel
Rundu,No country,79.88,-17.9333,19.7667,Millennia Estate
Puerto Escondido,MX,83.23,15.85,-97.0667,Aldea del Bazar Hotel and Spa
Georgetown,MY,80.89,5.4112,100.3354,Cititel Penang
Noto,IT,75.7,36.8901,15.0693,Grand Hotel Sofia
East London,ZA,72.54,-33.0153,27.9116,Tu Casa
Nishihara,JP,72.68,26.1842,127.7558,Minshuku Agaihama
Vila Franca Do Campo,PT,70.21,37.7167,-25.4333,Pestana Bahia Praia
Goffstown,US,70.84,43.0204,-71.6003,
Maragogi,BR,84.18,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
Dingle,PH,76.5,10.9995,122.6711,SEGAYA PROPERTY
Barentu,ER,85.3,15.1139,37.5928,
Nandi,IN,76.42,13.3855,77.6984,Tranquil Stay
Doka,SD,84.56,13.5167,35.7667,
Buchanan,LR,84.16,5.8808,-10.0467,Kamaneahn Hotel Inc
Namibe,AO,77.63,-15.1961,12.1522,Hotel Chik Chik Namibe
Marzuq,YE,79.97,14.4,46.4667,
Albany,US,70.61,42.6001,-73.9662,
Siderno,IT,75.79,38.2779,16.302,Grand Hotel President
Tomatlan,MX,85.51,19.9333,-105.25,El Salvial
Bethel,US,72.77,41.3712,-73.414,Courtyard by Marriott Danbury
Port Blair,IN,81.0,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
Port-Gentil,GA,82.36,-0.7193,8.7815,Fengshui Residence
Faanui,PF,78.15,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
Bihariganj,IN,73.13,25.7333,86.9833,Chandika Sthan Dharmshala
Mbanza-Ngungu,CD,78.22,-5.25,14.8667,Hotel Full Business
Bambous Virieux,MU,75.22,-20.3428,57.7575,Casa Tia Villa
Takoradi,GH,78.73,4.8845,-1.7554,Raybow International Hotel
Villarrica,PY,82.98,-25.75,-56.4333,Mansión Reljuv Tours SA
Saint-Georges,GD,87.48,12.0564,-61.7485,Radisson Grenada Beach Resort
Mahebourg,MU,75.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
Sakakah,SA,83.77,29.9697,40.2064,Fakhamat Al Orjoana Apartment
Avarua,CK,71.65,-21.2078,-159.775,Paradise Inn
Carutapera,BR,83.39,-1.195,-46.02,Lidera
Waingapu,ID,80.46,-9.6567,120.2641,Pondok Wisata Elim
Souillac,MU,75.36,-20.5167,57.5167,Shanti Maurice Resort & Spa
Puri,IN,81.12,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
Catuday,PH,80.51,16.2923,119.8062,Benjie's Kubo & Cottages
Prainha,BR,79.79,-1.8,-53.48,Casa Rocha
Hervey Bay,AU,76.03,-25.2986,152.8535,Shelly Bay Resort
Puerto Colombia,CO,86.09,10.9878,-74.9547,Hotel El Emigrante
Cabo San Lucas,MX,82.51,22.8909,-109.9124,Hotel Tesoro Los Cabos
Lompoc,US,75.09,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
Mount Isa,AU,71.37,-20.7333,139.5,ibis Styles Mt Isa Verona
Bengkulu,ID,75.76,-3.8004,102.2655,Grage Hotel Bengkulu
Chinhoyi,ZW,77.86,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
Iquitos,PE,86.04,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
Sao Filipe,CV,82.65,14.8961,-24.4956,Hotel Xaguate
Mariental,No country,82.89,-24.6333,17.9667,Mariental Hotel
Tra Vinh,VN,77.27,9.9347,106.3453,Hồng Ân
Vila Velha,BR,75.15,-20.3297,-40.2925,Quality Suites Vila Velha
Do Gonbadan,IR,78.89,30.3586,50.7981,شبکه بهداشت و درمان گچساران
Conceicao Da Barra,BR,75.29,-18.5933,-39.7322,Cricaré Praia Hotel
Ibicarai,BR,78.78,-14.865,-39.5875,Pousada Patioba
Emerald,AU,75.34,-23.5333,148.1667,The Irish Village
Kalabo,ZM,82.78,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
Morro Da Fumaca,BR,78.1,-28.6508,-49.21,Hotel Parati
Axim,GH,80.19,4.8699,-2.2405,Axim Beach Resort And Spa
Labuhan,ID,81.25,-6.8844,112.2051,PT PPI Lamongan Tambak C
Lorengau,PG,80.71,-2.0226,147.2712,Lorengau Harbourside Hotel
Alanya,TR,75.33,36.5438,31.9998,Panorama Hotel
Kahului,US,73.85,20.8947,-156.47,Maui Seaside Hotel
Mtwara,TZ,79.93,-10.2667,40.1833,TIL Hotels Mtwara
Mogadishu,SO,79.23,2.0371,45.3438,Hotel Juba
Sibolga,ID,77.85,1.7427,98.7792,Hotel Syariah CN Darussalam
Bambanglipuro,ID,78.15,-7.95,110.2833,Puri Brata
Ugoofaaru,MV,82.0,5.6667,73.0,Ungoofaaru Inn
Porto Belo,BR,75.63,-27.1578,-48.5531,Costa Verde Beach Hotel
Siguiri,GN,82.69,11.6667,-9.5,
San Policarpo,PH,80.74,12.1791,125.5072,Agapita M. Nicart
Faya,SA,72.12,18.3851,42.4509,املاك خالد الشعشوع
Sampit,ID,75.11,-2.5333,112.95,Aquarius Boutique Hotel Sampit
Ponta Delgada,PT,70.52,37.7333,-25.6667,Vila Nova Hotel
Kununurra,AU,85.98,-15.7667,128.7333,Hotel Kununurra
Papara,BR,87.73,-3.9839,-38.7273,Romin
Bonthe,SL,82.81,7.5264,-12.505,Bonthe Holiday Village
Gizo,SB,81.27,-8.103,156.8419,Imagination Island
Innisfail,AU,74.43,-17.5333,146.0333,Moondarra Motel
Kavieng,PG,80.01,-2.5744,150.7967,Nusa Island Retreat
Gorontalo,ID,75.56,0.5412,123.0595,Maqna Hotel by Prasanthi
San Fernando,PH,80.62,15.0286,120.6898,Maharlika Hostel
La Colmena,PY,83.71,-25.8833,-56.8167,HOTEL El Triunfo
Adeje,ES,82.89,28.1227,-16.726,Gran Tacande Wellness & Relax
Barra Patuca,HN,84.54,15.8,-84.2833,
Roebourne,AU,76.12,-20.7833,117.1333,Latitude20 Roebourne Village
Jizan,SA,88.74,17.3333,42.6667,شهدان. ابوالحجر
Graaff-Reinet,ZA,78.71,-32.2522,24.5308,Rietjiesbos B&B
Makakilo City,US,73.72,21.3469,-158.0858,Marriott's Ko Olina Beach Club
Kembe,CF,74.37,4.6228,21.8865,
Luanda,AO,80.6,-8.8368,13.2343,Hotel Fórum
Erzin,TR,74.12,36.9559,36.2,Artemis Otel
Morgan City,US,84.0,29.6994,-91.2068,Hampton Inn & Suites Morgan City
General Roca,AR,81.63,-39.0333,-67.5833,Hotel y Casino del Río General Roca
Los Llanos De Aridane,ES,73.15,28.6585,-17.9182,Valle Aridane
Sinnamary,GF,81.1,5.3833,-52.95,ALETHEIA Appartement Sinnamary
Languyan,PH,81.41,5.2618,120.0807,
Merauke,ID,79.72,-8.4667,140.3333,
Mattru,SL,80.06,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
Karratha,AU,75.92,-20.7377,116.8463,ibis Styles Karratha
Bukama,CD,86.25,-9.2,25.85,
Upata,VE,85.19,8.0086,-62.3989,Posada Villa Nela
Wewak,PG,77.63,-3.5534,143.6268,In Wewak Boutique Hotel
Sambava,MG,73.72,-14.2667,50.1667,Melrose
Namatanai,PG,78.6,-3.6667,152.4333,Seagulls Inn Namatani
Tiznit,MA,79.74,29.5833,-9.5,
Mackay,AU,78.67,-21.15,149.2,International Lodge Motel
Kalmunai,LK,81.34,7.4167,81.8167,VS Villa
Altea,ES,80.02,38.5989,-0.0514,Albir Playa Hotel & Spa
Turayf,SA,75.45,31.6725,38.6637,Turaif
Totness,SR,83.55,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
Praia Da Vitoria,PT,75.45,38.7333,-27.0667,Hotel Branco I
Vanimo,PG,77.02,-2.6741,141.3028,Vahmoneh Lodge Vanimo
Bandarbeyla,SO,78.6,9.4942,50.8122,JABIR HOTEL
Kondoa,TZ,76.8,-4.9,35.7833,Kinyuma Lodge
Lazaro Cardenas,MX,84.2,17.9583,-102.2,quinta antigua
Pyay,MM,76.1,18.8167,95.2167,Shwe Pyi Thar
Awbari,LY,80.22,26.5921,12.7805,فندق أوباري
Maracacume,BR,87.58,-2.0428,-45.9592,Hotel Ramos
Mareeba,AU,75.92,-17.0,145.4333,Trinity Plains Tourist Park
Saint-Joseph,RE,73.78,-21.3667,55.6167,"""Plantation Bed and Breakfast"
Mahon,ES,72.16,39.8885,4.2658,ARTIEM Capri
Cruzeiro Do Oeste,BR,75.31,-23.785,-53.0733,Ramos hotel
Hooksett,US,71.46,43.0967,-71.4651,Twin Oaks Campground
Inirida,CO,83.12,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
Kloulklubed,PW,75.7,7.0419,134.2556,Storyboard Beach Resort
Boa Vista,BR,84.18,2.8197,-60.6733,Aipana Plaza Hotel
Sabang,ID,81.64,5.8933,95.3214,Hotel Citra
The Hammocks,US,87.03,25.6715,-80.4445,Casa tío Hernan
Hobyo,SO,79.56,5.3505,48.5268,Halane Hotel and Restaurent
General Teran,MX,79.21,25.2667,-99.6833,OYO Hotel Garate
Inhambane,MZ,75.18,-23.865,35.3833,Oceano
Port Moresby,PG,74.62,-9.4431,147.1797,Lamana Hotel (Port Moresby)
Palmer,US,72.25,42.1584,-72.3287,Wedgewood Motel
Arrecife,ES,77.07,28.963,-13.5477,Hotel Lancelot
Gustavo Diaz Ordaz,MX,84.88,26.2333,-98.5833,Chikas En El Hotel
Tres Arroyos,AR,82.33,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
Beinamar,TD,75.74,8.6698,15.3813,
Aitape,PG,76.96,-3.1374,142.3475,
Mitsamiouli,KM,77.27,-11.3847,43.2844,Foyer ADM
Padang,ID,77.05,-0.9492,100.3543,Mercure Padang
Saint Pete Beach,US,84.25,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
Nizwa,OM,86.49,22.9333,57.5333,Orient Apartments
San Vicente,AR,78.91,-26.6167,-54.1333,Complejo Turístico Farelluk
Sabinas Hidalgo,MX,79.72,26.5,-100.1667,Hotel Real Santiago De Las Sabinas
Abeche,TD,88.38,13.8292,20.8324,Assaleh Hamdan Haroune
Iberia,US,77.11,29.9502,-91.7507,back to back rv park
Kieta,PG,78.84,-6.2167,155.6333,Uruna Bay Retreat
Mecca,SA,85.32,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
Cap Malheureux,MU,75.47,-19.9842,57.6142,Pereybere Hotel & Spa
Iralaya,HN,80.69,15.0,-83.2333,Iglesia morava renovada
Ponta Do Sol,PT,76.12,32.6667,-17.1,Hotel do Campo
Yonibana,SL,81.23,8.4447,-12.245,
Owando,CG,73.78,-0.4819,15.8999,Exaunel Hotel Owando
Mage,BR,76.95,-22.6528,-43.0406,Canopus Hotel
Buraydah,SA,88.25,26.326,43.975,فندق راحة السلام
Gigmoto,PH,79.7,13.7796,124.39,Cj's Travellers Inn
